,name,age,points,salary,label
0,AJ Hammons,0.23791198092907057,-1.107918353154553,-0.8296720412080213,"Young, great"
1,Aaron Gordon,-0.5035598145571255,0.6960678997846372,0.9901116521923304,"Young, average"
2,Aaron Holiday,-0.7507170797191909,-0.42414937018566623,-0.6254991944275426,"Older, great"
3,Abdel Nader,-0.0092452842329948,-0.4532459226524274,-0.6861396307167927,"Young, great"
4,Admiral Schofield,-0.7507170797191909,-0.9915321432875084,-0.7101802298064498,"Older, great"
5,Al Horford,1.7208555719014627,0.6524230710844957,1.9481419417091583,"Older, average"
6,Alec Burks,0.48506924609113594,0.4051023751170259,-0.25160730362799477,"Young, great"
7,Alen Smailagic,-1.7393461403674524,-1.1806597343214558,-0.7101802298064498,"Older, great"
8,Alex Caruso,-0.0092452842329948,-0.5841804087528526,-0.5841275383882621,"Young, great"
9,Alex Len,-0.0092452842329948,-0.5405355800527109,-0.6344659862350472,"Young, great"
10,Alfonzo McKinnie,0.23791198092907057,-1.0642735244544113,-0.6851322478763467,"Young, great"
11,Alize Johnson,-0.7507170797191909,-1.1370149056213141,-0.854134173641436,"Older, great"
12,Anderson Varejao,2.7094846325497244,-0.36595626525214403,-0.6697289897769857,Star Player
13,Andre Drummond,-0.0092452842329948,1.1179679105526736,1.9949237531249475,"Older, average"
14,Andre Iguodala,2.4623273673876587,-0.7442114473200387,0.6692179618619762,Star Player
15,Andre Roberson,0.48506924609113594,-1.2534011154883586,-0.8487299524721937,"Young, great"
16,Andrew Nicholson,0.9793837764152666,-0.5550838562860914,-0.5744660350749046,"Young, great"
17,Andrew Wiggins,-0.2564025493950602,1.1470644630194347,2.1570679861961777,"Older, average"
18,Anfernee Simons,-1.492188875205387,-0.2641183316184801,-0.6350757771886384,"Older, great"
19,Anthony Davis,0.23791198092907057,1.845381722221702,2.4844715018978727,"Older, average"
20,Anzejs Pasecniks,-0.5035598145571255,-1.4279804302889254,-0.8271950212438534,"Older, great"
21,Aron Baynes,1.7208555719014627,-0.5405355800527109,-0.14929338524022023,Star Player
22,Austin Rivers,0.23791198092907057,-0.36595626525214403,-0.5073920995974311,"Young, great"
23,Avery Bradley,0.7322265112532013,-0.19137695045157724,-0.2889518838395325,"Young, great"
24,Bam Adebayo,-0.9978743448812563,1.3652886065201433,-0.34210478295332847,"Young, average"
25,Ben McLemore,0.23791198092907057,-0.46779419888580803,-0.6319046596021276,"Young, great"
26,Ben Simmons,-0.7507170797191909,0.914292043285346,2.2611406808410384,"Older, average"
27,Bismack Biyombo,0.23791198092907057,-0.6278252374529942,-0.5073920995974311,"Young, great"
28,Blake Griffin,1.226541041577332,0.25961961278322027,2.477162707137842,"Older, average"
29,Boban Marjanovic,1.226541041577332,-0.7878562760201804,-0.5073920995974311,"Young, great"
30,Bobby Portis,-0.2564025493950602,0.1432334029161759,-0.4948074876357349,"Young, average"
31,Bogdan Bogdanovic,0.23791198092907057,-0.03134591188439106,0.9761597170252999,Star Player
32,Bojan Bogdanovic,0.9793837764152666,0.7397127284847791,0.9608126292671337,Star Player
33,Brad Wanamaker,0.9793837764152666,-0.7442114473200387,-0.6352844975821494,"Young, great"
34,Bradley Beal,-0.0092452842329948,3.198371411926095,2.0762158445850964,"Older, average"
35,Brandon Clarke,-0.7507170797191909,0.28871616524998156,-0.599175869504736,"Young, average"
36,Brandon Goodwin,-0.5035598145571255,-0.8605976571870833,-0.6913941666234337,"Older, great"
37,Brandon Ingram,-0.9978743448812563,2.0927024181891714,1.9261444492557867,"Older, average"
38,Brook Lopez,1.4736983067393974,0.23052306031645925,0.4336580697098432,Star Player
39,Bruno Caboclo,-0.5035598145571255,-1.0206286957542696,-0.8285292970535483,"Older, great"
40,Bruno Fernando,-1.2450316100433216,-1.2097562867882168,-0.7101802298064498,"Older, great"
41,Bryn Forbes,-0.0092452842329948,-0.04589418811777157,-0.6263683511642468,"Young, great"
42,Buddy Hield,0.23791198092907057,1.0306782531523901,1.6618506139497127,"Older, average"
43,CJ McCollum,0.48506924609113594,2.0345093132556493,2.137847498115687,"Older, average"
44,Caleb Martin,-0.5035598145571255,-0.6569217899197554,-0.7101802298064498,"Older, great"
45,Cam Reddish,-1.492188875205387,0.20142650784969796,-0.40937536578194317,"Young, average"
46,Cameron Johnson,-0.5035598145571255,0.07049202174927306,-0.4321749993554749,"Young, average"
47,Cameron Payne,-0.2564025493950602,-0.38050454148552454,-0.6632150718489096,"Older, great"
48,Cameron Reynolds,-0.2564025493950602,-0.700566618619897,-0.854134173641436,"Older, great"
49,Caris LeVert,-0.2564025493950602,1.0888713580859126,0.7923736346810141,"Young, average"
50,Carmelo Anthony,2.2151701022255934,0.6087782423843539,-0.6996845611164767,Star Player
51,Carsen Edwards,-0.9978743448812563,-0.6860183423865165,-0.7101802298064498,"Older, great"
52,Cedi Osman,-0.5035598145571255,0.041395469282511775,0.039023566665949874,"Young, average"
53,Chandler Hutchison,-0.7507170797191909,-1.1515631818546945,-0.6154928932092183,"Older, great"
54,Chimezie Metu,-0.7507170797191909,-0.933339038353986,-0.8603751180352535,"Older, great"
55,Chris Boucher,0.23791198092907057,0.5796816899175928,-0.2004503444341075,"Young, average"
56,Chris Clemons,-0.9978743448812563,-0.7151148948532775,-0.7101802298064498,"Older, great"
57,Chris Paul,1.9680128370635281,0.8560989383518234,3.366091506256506,"Older, average"
58,Chris Silva,-0.7507170797191909,-1.03517697198765,-0.7101802298064498,"Older, great"
59,Christian Wood,-0.5035598145571255,1.7580920648214184,0.46621425622691465,"Young, average"
60,Clint Capela,-0.2564025493950602,0.6524230710844957,0.7715318802497508,"Young, average"
61,Coby White,-1.492188875205387,0.7833575571849206,-0.2953280872334586,"Young, average"
62,Cody Martin,-0.5035598145571255,-0.8751459334204639,-0.7101802298064498,"Older, great"
63,Cody Zeller,0.23791198092907057,-0.08953901681791337,0.7117529271533258,Star Player
64,Cole Aldrich,1.226541041577332,-0.9769838670541279,-0.7953709931267647,"Young, great"
65,Collin Sexton,-1.2450316100433216,2.0636058657224106,-0.3547520110330781,"Young, average"
